marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,valor
8,2016,8,10,8,0,0,3,541,0,0,0,0,250,24991
7,2021,10,18,4,0,0,1,255,2,1,0,0,250,7391
0,2017,8,15,8,0,0,2,586,1,3,0,0,250,19798
7,2019,6,8,64,0,0,3,53,2,1,0,500,0,5555
7,2013,2,2,12,0,0,1,174,2,3,0,2000,0,5927
0,2014,6,7,16,0,0,2,417,0,2,0,0,2000,20274
6,2010,4,4,8,0,0,3,575,1,1,0,250,2000,20410
5,2015,10,13,8,0,0,2,424,3,2,0,0,250,20558
10,2015,8,16,16,0,0,2,556,1,0,0,0,500,24316
2,2022,4,7,64,0,0,1,573,2,1,0,0,1000,15761
9,2011,2,4,12,0,0,2,48,2,3,0,2000,0,4042
1,2011,8,16,16,0,0,2,483,1,2,0,500,250,24005
10,2014,4,6,16,0,0,2,485,1,2,0,250,250,15799
8,2021,6,10,16,1,6,4,144,0,2,0,0,500,18079
7,2013,2,3,2,0,0,3,65,2,3,0,2000,0,3779
0,2018,8,16,8,0,0,2,582,0,2,0,0,250,24659
6,2021,8,14,16,1,6,4,59,1,0,0,0,500,16080
1,2015,6,7,16,0,0,3,510,3,2,0,0,500,19712
4,2010,4,4,8,1,4,1,135,1,4,0,500,2000,8943
10,2013,12,16,16,0,0,2,495,0,0,0,0,250,25773
0,2010,2,3,12,0,0,2,585,1,2,0,1000,125,16451
2,2015,4,5,16,0,0,2,548,1,2,0,0,500,24407
5,2016,10,13,16,0,0,2,502,1,2,0,0,1000,23243
9,2010,6,7,12,1,6,4,96,0,1,0,500,500,10021
2,2015,4,4,2,0,0,3,505,1,1,0,0,250,13844
7,2023,6,8,32,0,0,2,93,2,1,0,0,500,5597
3,2021,8,9,6,0,0,2,168,2,3,0,1000,0,6032
5,2015,6,8,16,0,0,2,569,0,2,0,0,2000,23000
5,2016,6,9,8,0,0,2,490,1,0,0,0,2000,22438
2,2017,8,8,6,0,0,2,113,2,4,0,2000,0,6868
5,2015,6,11,8,0,0,3,546,0,0,0,0,500,19824
0,2022,12,16,8,0,0,3,537,0,2,0,0,500,19719
6,2017,8,15,16,1,6,3,65,1,2,0,0,2000,18771
10,2017,4,6,8,0,0,2,427,0,0,0,0,250,15148
4,2017,10,18,8,1,2,1,126,1,1,0,0,250,8877
1,2017,8,15,8,0,0,2,434,3,0,0,0,250,17052
3,2018,10,11,2,0,0,4,498,2,1,0,250,0,13291
2,2011,4,4,8,0,0,2,592,1,0,0,0,500,20368
3,2011,8,16,16,1,6,2,177,0,0,0,500,2000,22252
7,2014,6,11,8,0,0,2,194,2,1,0,0,1000,7227
0,2012,6,8,12,1,4,2,80,1,1,0,250,250,7810
4,2011,4,8,6,0,0,2,557,1,4,0,500,250,15293
5,2017,6,8,16,0,0,2,514,0,0,0,0,250,17256
5,2013,8,11,16,0,0,3,560,0,2,0,500,250,26816
2,2021,6,10,16,0,0,2,580,3,0,0,0,1000,19426
4,2018,10,11,4,0,0,2,577,1,1,0,0,250,18316
0,2021,4,5,8,0,0,2,566,0,2,0,0,250,22424
5,2020,4,8,16,0,0,3,478,0,2,0,0,1000,23591
9,2017,8,13,4,0,0,3,543,1,3,0,0,250,15411
0,2022,10,12,16,0,0,2,530,0,2,0,0,250,23833
8,2020,4,4,32,1,6,4,101,1,0,0,0,2000,19899
0,2021,4,8,16,0,0,2,562,1,0,0,0,1000,16331
1,2019,10,19,8,0,0,2,581,0,0,0,0,500,21990
10,2017,12,21,16,0,0,2,551,3,2,0,0,1000,18893
5,2022,4,6,16,0,0,3,453,3,2,0,0,250,14081
7,2013,4,6,6,0,0,4,47,2,1,0,250,0,3293
5,2022,6,6,16,0,0,3,459,0,0,0,0,2000,25461
4,2010,2,4,6,0,0,3,506,1,1,0,2000,1000,16416
2,2012,6,7,2,0,0,2,376,1,0,1,2000,250,15447
9,2021,4,6,16,1,6,4,42,1,2,0,0,250,9241
7,2011,4,6,2,0,0,3,153,2,1,0,2000,0,5302
3,2019,10,15,16,1,6,4,177,1,3,0,0,1000,12159
10,2017,6,7,8,0,0,2,476,0,2,0,0,2000,23410
9,2019,10,17,12,1,6,4,180,1,4,0,0,250,12475
3,2018,4,7,2,0,0,2,448,1,1,1,0,250,14569
10,2018,6,7,16,0,0,2,457,3,2,0,0,2000,18577
6,2013,6,11,12,0,0,4,217,2,3,0,2000,0,6517
4,2022,4,8,8,1,4,4,38,1,2,0,0,2000,8397
2,2020,6,10,8,0,0,4,561,2,1,0,0,1000,12779
0,2012,6,9,6,0,0,3,583,1,2,0,0,500,20454
5,2011,12,16,16,0,0,2,594,0,0,0,250,250,19126
10,2010,12,22,16,0,0,2,587,3,2,0,250,250,24770
9,2017,4,7,2,0,0,2,123,2,3,0,500,0,4723
0,2013,10,12,16,0,0,2,518,3,0,0,250,250,24349
7,2016,10,12,16,0,0,1,54,2,1,0,500,0,5180
3,2017,8,13,32,0,0,2,494,2,1,0,2000,0,14561
7,2016,4,6,8,0,0,1,192,2,3,0,250,0,5396
3,2019,8,11,4,0,0,1,265,2,1,0,2000,0,9287
3,2018,12,22,12,1,6,1,54,3,3,0,0,250,10484
6,2019,6,9,4,0,0,2,499,2,3,0,1000,0,10874
1,2022,6,9,16,0,0,2,444,0,2,0,0,500,21985
5,2016,10,12,16,0,0,2,458,1,2,0,0,250,22095
8,2017,6,11,16,1,6,4,189,0,2,0,0,1000,25126
7,2023,8,11,4,0,0,4,79,2,3,0,250,2000,6030
5,2016,12,22,16,0,0,3,521,1,2,0,0,250,20299
4,2017,8,9,12,1,4,2,156,3,1,0,0,250,9840
9,2016,4,6,8,0,0,3,312,1,0,1,0,1000,11681
0,2020,10,14,2,0,0,3,110,1,0,1,0,250,8321
3,2015,8,16,12,1,4,3,154,3,2,0,0,1000,12980
7,2011,4,6,2,0,0,3,168,2,1,0,250,0,6072
6,2014,8,14,8,1,4,3,61,1,2,0,250,250,7128
4,2012,10,20,12,1,4,3,180,1,2,0,2000,125,11319
1,2016,4,8,8,0,0,2,471,3,2,0,0,2000,16698
5,2019,10,18,16,0,0,3,567,0,2,0,0,500,26377
3,2018,4,5,2,0,0,3,250,1,1,1,0,1000,12080
5,2015,4,7,8,0,0,2,578,3,2,0,0,250,22162
7,2023,6,11,64,0,0,4,168,2,1,0,500,500,7467
1,2023,6,6,8,0,0,2,475,3,2,0,0,1000,23797
0,2014,10,13,8,0,0,3,422,0,0,0,0,250,20572
4,2014,10,12,16,1,6,1,33,1,2,0,500,1000,9647
6,2019,6,11,16,1,6,4,96,3,4,0,0,2000,12147
4,2023,8,12,16,1,6,4,146,0,3,0,0,2000,11999
6,2010,6,12,12,0,0,2,587,1,1,1,1000,250,18748
0,2015,8,16,8,1,2,1,51,1,1,0,0,250,6231
8,2013,8,16,8,0,0,2,467,3,0,0,0,2000,18890
3,2010,2,3,8,1,4,3,156,1,1,0,2000,500,8893
9,2022,10,17,8,1,2,4,112,1,2,0,0,1000,9712
0,2010,6,11,2,0,0,3,135,2,1,0,2000,0,5783
4,2023,4,5,12,0,0,3,538,1,4,0,0,2000,18677
5,2011,10,16,8,0,0,2,527,3,0,0,1000,250,19774
2,2014,4,8,6,0,0,2,181,2,2,0,1000,0,8255
8,2017,6,11,16,0,0,3,472,0,0,0,0,250,16147
8,2022,8,10,8,0,0,3,537,0,0,0,0,250,23406
3,2015,10,20,8,0,0,3,122,1,0,1,0,250,12804
3,2021,4,4,8,0,0,3,539,3,1,1,0,250,19838
7,2019,10,17,6,0,0,2,56,2,3,0,1000,0,4787
2,2017,4,7,16,0,0,2,593,1,1,1,0,250,17405
3,2012,6,7,8,1,4,1,179,1,1,0,0,1000,9625
7,2016,6,10,6,0,0,4,81,2,3,0,500,0,4842
0,2012,6,7,16,0,0,3,504,1,2,0,0,500,23605
10,2015,10,13,16,0,0,3,497,1,2,0,0,250,20593
8,2012,6,10,32,1,6,4,150,0,0,0,2000,125,16178
7,2017,4,4,4,0,0,4,214,2,1,0,500,0,5436
8,2011,10,20,32,1,6,2,32,0,2,0,1000,500,13769
5,2010,10,14,8,0,0,3,453,1,2,0,0,250,22067
1,2013,4,5,16,0,0,2,401,3,2,0,0,2000,18056
2,2019,8,13,6,0,0,2,331,1,0,1,0,250,13971
10,2019,8,12,8,0,0,3,525,0,2,0,0,250,20893
3,2016,8,13,16,1,6,2,125,0,2,0,0,250,10935
3,2011,4,7,8,1,2,2,34,1,3,0,0,1000,6511
1,2020,8,14,16,0,0,2,457,1,2,0,0,500,21092
4,2013,6,12,8,0,0,3,539,1,1,0,0,2000,20362
7,2023,10,14,64,0,0,2,133,2,3,0,0,250,7721
9,2019,4,8,2,0,0,2,316,2,3,0,0,250,8391
0,2021,6,12,32,1,6,4,42,3,2,0,0,1000,15734
6,2013,10,10,12,1,6,3,191,0,2,0,1000,125,12019
7,2017,4,4,12,0,0,3,237,2,3,0,1000,0,6020
0,2017,12,16,16,1,6,4,199,1,4,0,0,250,11700
3,2011,4,6,12,0,0,3,218,1,0,1,0,250,11828
0,2013,6,10,16,0,0,3,381,1,1,1,0,250,15538
2,2013,6,10,12,0,0,2,341,1,0,1,2000,250,13562
9,2020,6,12,16,0,0,4,150,2,3,0,500,0,5800
3,2018,8,10,16,0,0,3,582,1,1,0,0,2000,17823
3,2022,6,9,8,0,0,2,520,1,1,1,0,250,22705
1,2012,6,9,16,0,0,3,409,0,2,0,1000,250,24401
10,2021,6,6,8,0,0,2,485,0,0,0,0,1000,18204
9,2011,4,7,16,1,6,1,44,0,2,0,0,1000,19449
6,2019,6,12,12,1,4,4,36,1,2,0,0,250,7427
1,2023,12,16,16,0,0,2,564,0,2,0,0,250,23573
0,2015,8,14,16,0,0,3,587,1,3,0,0,1000,20619
3,2010,6,11,12,1,4,3,97,1,4,0,1000,1000,8981
8,2020,4,8,8,0,0,2,400,1,0,0,0,500,18042
7,2010,6,6,12,0,0,2,280,2,3,0,2000,0,7310
9,2021,4,5,32,0,0,2,284,2,2,0,0,2000,11540
6,2016,4,6,16,0,0,3,437,0,2,0,0,2000,23849
2,2010,2,3,4,0,0,1,470,2,1,0,0,1000,12916
5,2012,6,10,8,0,0,3,409,3,0,0,2000,250,14116
6,2023,10,13,12,1,4,4,54,0,2,0,0,250,11433
6,2011,2,3,4,0,0,1,589,2,4,0,2000,0,12988
8,2019,6,9,16,1,6,4,151,0,0,0,0,500,18126
1,2014,6,7,16,0,0,3,510,1,2,0,2000,250,15039
4,2017,4,6,12,1,2,4,148,1,4,0,0,1000,8744
1,2013,6,6,8,0,0,3,496,0,0,0,250,250,20831
2,2013,6,11,12,0,0,3,547,1,3,0,2000,2000,20716
7,2022,10,10,64,0,0,2,83,2,3,0,0,250,5838
7,2016,10,11,2,0,0,3,169,2,3,0,250,0,5312
0,2012,8,16,16,1,4,2,58,3,1,0,500,2000,11658
10,2015,12,23,16,0,0,2,436,0,2,0,0,250,19489
9,2023,6,7,16,0,0,2,519,1,0,1,0,2000,20823
5,2010,4,7,8,0,0,2,561,1,2,0,1000,250,23085
1,2021,8,13,16,0,0,2,429,0,2,0,0,250,18372
4,2014,4,6,16,1,6,3,123,0,3,0,0,500,10389
5,2014,10,17,8,0,0,3,414,1,2,0,0,250,18489
5,2017,6,9,16,0,0,2,460,0,0,0,0,250,14935
1,2011,12,18,8,0,0,2,468,1,2,0,2000,250,22742
7,2011,6,9,2,0,0,2,78,2,1,0,250,0,4608
3,2015,10,10,16,0,0,2,506,1,2,0,0,2000,17561
2,2018,6,6,12,0,0,1,131,2,1,0,0,250,5768
2,2021,8,16,32,0,0,2,560,1,2,0,0,2000,21499
7,2020,6,8,8,0,0,1,135,2,1,0,500,0,5183
3,2015,10,15,2,0,0,2,150,1,0,1,0,250,9101
10,2020,6,9,8,0,0,3,587,3,2,0,0,2000,23634
2,2016,8,14,12,0,0,1,351,2,3,0,250,0,9032
10,2022,6,12,16,0,0,3,486,1,2,0,0,500,16255
2,2023,10,20,16,0,0,2,49,1,0,1,0,250,10867
0,2022,10,19,8,0,0,3,591,0,2,0,0,500,24090
9,2023,6,12,12,1,4,4,30,0,3,0,0,250,9680
2,2017,10,14,4,0,0,3,580,1,4,0,0,250,18553
9,2016,8,14,12,1,6,1,71,3,1,0,0,250,8962
0,2012,2,3,2,0,0,4,236,2,1,0,250,0,5994
8,2013,8,9,16,1,6,4,70,1,2,0,1000,2000,12835
3,2021,6,10,12,1,4,4,64,0,2,0,0,1000,10179
2,2019,8,15,16,0,0,3,573,1,1,0,0,1000,17165
1,2019,12,23,16,0,0,2,428,3,0,0,0,250,18148
10,2012,6,6,8,0,0,2,529,0,2,0,250,250,25057
8,2017,6,9,8,0,0,3,575,1,0,0,0,500,16505
4,2018,4,8,8,1,4,3,166,1,4,0,0,250,7974
3,2019,6,7,32,1,6,4,36,3,2,0,0,500,20438
2,2016,10,17,16,0,0,2,474,1,0,1,0,250,16848
6,2017,4,7,12,1,4,2,180,1,4,0,0,250,8638
2,2022,4,8,32,0,0,3,248,2,3,0,0,500,9446
7,2017,4,8,6,0,0,3,299,2,3,0,1000,0,7859
1,2016,10,16,8,0,0,2,541,0,2,0,0,250,22923
6,2014,4,4,4,0,0,2,531,1,4,0,500,1000,16349
0,2015,8,10,12,1,4,2,125,1,2,0,0,250,9126
0,2019,6,12,12,0,0,2,595,1,1,0,0,2000,18773
5,2022,10,17,8,0,0,2,590,1,0,0,0,500,18978
8,2022,12,14,8,0,0,2,435,3,2,0,0,500,18414
1,2011,8,10,16,0,0,3,478,0,2,0,0,250,21399
10,2016,12,18,16,0,0,3,476,1,0,0,0,250,19266
4,2020,8,10,16,1,6,4,107,0,4,0,0,250,11753
1,2019,8,8,16,0,0,2,523,3,0,0,0,250,23549
6,2010,8,9,16,0,0,2,548,1,2,0,500,250,23336
0,2011,2,3,8,0,0,2,377,1,0,1,500,250,14211
5,2023,12,19,16,0,0,2,432,3,2,0,0,250,15955
2,2013,2,4,16,0,0,2,237,1,0,1,0,1000,11866
7,2014,6,10,2,0,0,1,138,2,1,0,2000,0,6081
3,2010,8,15,16,1,6,3,176,3,4,0,2000,2000,12407
7,2023,6,12,64,0,0,1,228,2,3,0,500,1000,8691
1,2011,6,6,8,0,0,2,423,3,0,0,500,250,21744
6,2018,6,10,8,0,0,3,595,1,2,0,0,250,18584
4,2022,6,8,8,1,2,4,134,1,3,0,0,1000,7220
9,2018,6,11,8,0,0,3,535,1,4,0,0,250,14265
1,2018,8,15,8,0,0,2,598,3,0,0,0,1000,21391
9,2018,12,22,16,1,6,4,140,1,0,0,0,1000,13781
6,2016,6,9,8,0,0,3,545,0,0,0,0,2000,24429
8,2015,4,7,16,0,0,3,493,0,0,0,0,250,15652
9,2018,4,4,8,0,0,3,446,1,1,1,0,2000,16302
6,2016,4,6,4,0,0,1,568,2,3,0,250,0,10833
7,2016,6,8,12,0,0,1,75,2,3,0,1000,0,3824
5,2019,4,5,8,0,0,2,428,1,2,0,0,1000,16742
0,2022,6,8,32,1,12,4,59,3,0,0,0,250,19096
10,2014,8,16,16,0,0,3,439,3,0,0,2000,250,16897
7,2020,8,12,2,0,0,2,209,2,3,0,500,0,6342
0,2018,6,6,16,0,0,2,594,1,2,0,0,250,15652
8,2012,4,8,32,1,6,4,199,1,0,0,2000,1000,14411
2,2011,10,17,8,0,0,3,514,1,1,1,500,250,15303
5,2018,4,5,16,0,0,2,436,0,0,0,0,1000,15989
10,2011,6,9,8,0,0,2,531,0,0,0,250,250,23381
0,2015,8,16,16,1,6,3,189,0,4,0,0,1000,11991
0,2020,10,20,4,0,0,3,517,1,2,0,0,250,17201
10,2021,8,9,16,0,0,2,543,3,2,0,0,250,24767
10,2018,12,22,8,0,0,2,523,3,0,0,0,250,18516
2,2016,10,19,6,0,0,3,549,1,3,0,0,1000,16397
5,2020,6,10,8,0,0,2,508,3,0,0,0,500,15392
7,2021,10,14,2,0,0,2,198,2,1,0,500,0,7093
5,2010,6,12,16,0,0,2,440,1,2,0,2000,250,19157
8,2019,4,8,8,0,0,3,525,0,2,0,0,1000,21909
7,2021,6,9,64,0,0,2,128,2,3,0,250,0,6178
3,2021,12,19,16,0,0,3,544,3,1,1,0,2000,27056
9,2011,2,4,8,1,4,3,63,1,4,0,250,1000,7690
9,2013,6,9,16,0,0,2,227,2,1,0,0,1000,7527
10,2015,4,6,8,0,0,2,514,3,0,0,0,250,20955
9,2019,6,10,32,0,0,3,496,2,2,0,250,0,13353
2,2020,12,21,6,0,0,3,365,2,3,0,250,0,9632
8,2020,8,14,16,0,0,2,492,1,2,0,0,250,17897
8,2015,6,11,16,0,0,3,570,0,0,0,0,2000,27153
6,2019,10,15,16,0,0,1,372,2,3,0,2000,0,12184
0,2020,4,5,32,1,6,4,128,1,0,0,0,500,16922
7,2015,10,16,2,0,0,1,39,2,1,0,0,1000,4815
1,2015,12,22,8,0,0,3,582,3,2,0,0,2000,27840
9,2017,8,11,8,0,0,2,458,3,0,0,0,500,16199
7,2014,8,15,16,0,0,3,138,2,1,0,1000,0,5875
8,2018,6,8,32,1,6,4,34,3,0,0,0,250,18062
8,2019,4,6,16,0,0,2,534,3,0,0,0,1000,15563
10,2019,10,12,8,0,0,2,556,0,2,0,0,250,25954
4,2021,4,5,12,1,2,4,154,1,2,0,0,2000,10025
6,2020,4,8,32,1,6,4,161,3,0,0,0,500,24360
6,2023,8,11,16,1,4,4,157,1,1,0,0,250,11455
3,2014,10,18,2,0,0,4,211,2,3,0,1000,0,6742
10,2011,12,12,8,0,0,2,509,3,2,0,250,250,15768
2,2020,10,13,12,0,0,4,128,2,1,0,250,0,5638
7,2023,8,15,2,0,0,4,143,2,3,0,250,2000,6220
9,2021,4,5,16,0,0,1,556,2,3,0,250,0,12958
8,2023,4,7,32,1,8,4,118,1,0,0,0,1000,16346
0,2010,2,3,8,0,0,3,584,1,2,0,2000,1000,16678
4,2016,6,7,8,0,0,3,562,1,1,0,0,1000,18159
6,2011,6,9,6,0,0,2,523,1,0,1,500,250,14564
0,2014,6,8,8,0,0,3,590,1,3,0,500,1000,19853
1,2017,4,5,16,0,0,2,405,1,0,0,0,2000,19859
10,2014,4,7,8,0,0,3,587,0,2,0,0,1000,17598
5,2010,12,22,16,0,0,2,429,0,2,0,250,250,20871
6,2013,4,5,8,0,0,2,453,1,2,0,500,250,13472
9,2016,10,19,8,0,0,2,520,1,0,0,0,250,18475
2,2014,6,9,2,0,0,2,541,1,2,0,500,1000,20512
10,2018,8,10,16,0,0,3,462,1,2,0,0,250,23497
10,2015,10,16,16,0,0,3,492,3,2,0,0,250,16438
10,2023,10,16,16,0,0,3,505,3,2,0,0,250,23890
3,2023,8,16,16,1,6,4,197,0,2,0,0,500,22927
5,2011,4,8,8,0,0,2,461,1,2,0,250,250,14197
6,2011,6,9,6,0,0,2,73,2,3,0,500,0,3984
10,2020,12,18,16,0,0,3,512,3,2,0,0,1000,21444
10,2012,8,10,16,0,0,2,501,3,2,0,0,250,20744
7,2021,10,17,12,0,0,4,149,2,3,0,500,0,6403
7,2011,4,5,6,0,0,4,46,2,3,0,0,250,3572
2,2016,10,19,16,0,0,3,438,3,1,1,0,2000,24050
7,2012,2,3,8,0,0,2,146,2,1,0,250,0,5612
8,2023,12,21,8,0,0,2,465,1,2,0,0,2000,25755
4,2019,6,9,12,1,6,4,86,3,4,0,0,250,9557
9,2012,2,2,12,1,4,3,35,1,3,0,2000,125,6615
0,2020,6,9,12,1,6,4,128,1,1,0,0,250,10149
2,2022,8,11,6,0,0,2,382,2,2,0,0,250,11486
10,2019,10,13,8,0,0,3,528,1,2,0,0,500,22910
0,2017,8,15,2,0,0,2,179,1,0,1,0,1000,9405
3,2012,6,9,16,0,0,2,93,1,0,1,500,250,8766
0,2013,6,9,8,0,0,3,140,2,1,0,500,0,6678
2,2017,4,8,12,0,0,2,564,1,4,0,0,250,17909
9,2019,6,9,12,0,0,4,35,2,1,0,0,500,4134
4,2021,6,9,12,1,4,4,154,1,3,0,0,2000,9403
1,2023,12,17,16,0,0,2,597,1,2,0,0,500,25091
10,2021,12,13,8,0,0,3,453,1,0,0,0,2000,24613
5,2014,10,18,16,0,0,3,558,0,0,0,1000,250,26084
9,2012,4,4,2,0,0,2,521,1,3,0,250,1000,16404
3,2023,12,17,32,0,0,3,501,1,1,0,0,2000,16350
4,2019,8,12,8,1,4,4,115,1,2,0,0,250,8158
3,2018,4,4,12,1,4,3,55,1,4,0,0,250,9352
9,2021,12,16,16,1,6,4,146,3,0,0,0,2000,14031
0,2018,8,8,16,1,6,3,161,0,2,0,0,250,17218
9,2020,4,7,12,0,0,1,372,2,4,0,1000,0,10401
1,2018,12,12,8,0,0,3,575,3,2,0,0,250,19207
9,2021,8,11,16,0,0,2,507,1,1,1,0,250,20063
5,2012,10,10,16,0,0,3,598,1,2,0,250,250,25579
3,2011,2,3,16,0,0,2,190,2,3,0,250,0,5193
1,2011,8,16,16,0,0,3,530,0,0,0,250,250,19907
2,2022,8,16,8,0,0,3,479,1,0,0,0,250,20570
9,2010,10,14,12,1,4,3,141,0,2,0,500,250,11819
4,2010,6,8,8,0,0,3,548,1,4,0,500,250,14875
10,2022,8,9,16,0,0,2,574,1,0,0,0,1000,19798
3,2012,4,4,8,0,0,4,211,2,2,0,0,500,9586
8,2013,6,6,8,0,0,2,479,1,2,0,1000,250,23333
5,2022,6,12,8,0,0,3,489,3,0,0,0,1000,18090
2,2013,6,10,12,0,0,3,508,1,0,1,250,250,18278
9,2010,4,4,16,1,4,3,118,1,3,0,2000,500,8873
