marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
acer,2020,10,15,2,não,0,2,531,FULLHD,IPS,não,0,250,ultraportatil
dell,2022,12,24,16,sim,8,4,135,4K,OLED,não,0,500,jogos_premium
dell,2010,10,20,32,sim,6,4,116,4K,OLED,não,250,250,jogos_premium
positivo,2023,10,18,12,não,0,4,121,HD,TN,não,500,250,entrada
lenovo,2014,8,8,2,não,0,3,93,HD,IPS,não,1000,0,intermediario
lenovo,2011,6,6,8,não,0,4,517,HD,TN,não,500,0,entrada
acer,2020,4,8,8,não,0,2,521,QUADHD,OLED,não,0,250,premium
apple,2019,8,10,8,não,0,2,460,4K,AMOLED,não,0,250,premium
razer,2015,6,12,8,não,0,2,587,4K,AMOLED,não,0,500,premium
dell,2019,6,9,32,sim,6,4,108,QUADHD,AMOLED,não,0,250,jogos_premium
dell,2011,10,17,16,sim,6,2,44,4K,OLED,não,2000,250,jogos_premium
acer,2014,6,8,12,sim,4,3,108,FULLHD,TN,não,250,250,jogos_intermediarios
huawei,2020,4,5,16,não,0,3,485,QUADHD,AMOLED,não,0,250,premium
apple,2014,8,9,16,não,0,3,576,4K,AMOLED,não,0,250,premium
samsung,2010,6,11,8,sim,2,3,74,FULLHD,VA,não,250,250,jogos_entrada
xiaomi,2012,12,24,16,não,0,3,554,4K,OLED,não,250,250,premium
positivo,2010,4,5,12,não,0,2,113,HD,TN,não,0,500,entrada
xiaomi,2014,12,23,16,não,0,2,467,FULLHD,AMOLED,não,1000,250,premium
xiaomi,2011,6,6,8,não,0,3,545,QUADHD,OLED,não,1000,250,premium
samsung,2013,4,5,16,sim,6,4,113,FULLHD,OLED,não,500,250,jogos_premium
positivo,2014,4,8,6,não,0,3,85,HD,TN,não,0,250,entrada
apple,2010,12,20,16,não,0,3,571,FULLHD,OLED,não,500,250,premium
apple,2013,4,7,8,não,0,2,467,4K,OLED,não,500,250,premium
hp,2017,6,11,32,não,0,3,511,FULLHD,OLED,não,0,2000,ultraportatil
huawei,2011,6,9,8,não,0,3,584,FULLHD,OLED,não,250,250,premium
lenovo,2013,4,4,8,não,0,2,450,FULLHD,OLED,não,1000,250,premium
razer,2023,12,18,8,não,0,3,461,FULLHD,OLED,não,0,250,premium
positivo,2022,4,4,16,não,0,4,294,HD,TN,não,1000,125,entrada
razer,2015,4,4,16,não,0,3,432,QUADHD,OLED,não,0,250,premium
positivo,2017,6,9,12,não,0,1,81,HD,IPS,não,500,0,entrada
apple,2010,6,12,16,não,0,2,420,FULLHD,OLED,não,1000,250,premium
samsung,2023,6,10,16,sim,6,4,37,QUADHD,OLED,não,0,250,jogos_premium
hp,2014,8,15,8,sim,2,4,182,FULLHD,TN,não,1000,125,jogos_entrada
lenovo,2017,4,7,64,não,0,3,551,FULLHD,AMOLED,sim,0,250,2em1
acer,2012,12,14,16,não,0,3,441,4K,OLED,não,0,2000,premium
razer,2010,4,4,32,sim,6,1,61,4K,AMOLED,não,500,1000,jogos_premium
dell,2013,8,16,32,sim,6,4,45,4K,AMOLED,não,1000,500,jogos_premium
apple,2017,4,6,16,não,0,2,580,4K,OLED,não,0,1000,premium
razer,2019,4,8,16,sim,6,4,126,QUADHD,AMOLED,não,0,250,jogos_premium
huawei,2020,6,10,8,não,0,3,416,QUADHD,OLED,não,0,2000,premium
xiaomi,2016,8,14,16,não,0,3,463,4K,OLED,não,0,250,premium
samsung,2018,8,16,2,não,0,3,458,HD,TN,não,500,0,entrada
acer,2013,8,12,16,sim,6,4,183,4K,AMOLED,não,0,1000,jogos_premium
lenovo,2013,6,12,4,não,0,1,206,HD,VA,não,2000,0,intermediario
samsung,2014,10,14,4,não,0,2,384,FULLHD,IPS,sim,500,250,2em1
xiaomi,2022,4,7,8,não,0,2,567,QUADHD,AMOLED,não,0,2000,premium
acer,2018,6,7,16,não,0,3,323,HD,IPS,não,1000,0,entrada
acer,2016,6,8,12,sim,6,2,71,4K,OLED,não,0,250,jogos_intermediarios
dell,2022,6,6,12,sim,4,4,186,QUADHD,IPS,não,0,2000,jogos_intermediarios
apple,2011,4,5,8,não,0,3,436,QUADHD,OLED,não,250,250,premium
huawei,2022,6,9,16,não,0,2,437,QUADHD,OLED,não,0,1000,premium
hp,2010,6,6,4,não,0,2,556,FULLHD,IPS,não,1000,250,ultraportatil
lenovo,2023,10,13,16,sim,12,4,166,FULLHD,AMOLED,não,0,250,jogos_premium
lenovo,2022,10,11,2,não,0,3,569,FULLHD,IPS,não,0,250,ultraportatil
samsung,2022,6,8,64,não,0,2,546,FULLHD,AMOLED,sim,0,1000,2em1
lenovo,2017,8,16,32,sim,6,3,155,FULLHD,AMOLED,não,0,2000,jogos_premium
razer,2018,4,5,32,sim,6,4,46,QUADHD,OLED,não,0,1000,jogos_premium
apple,2014,12,15,16,não,0,3,575,FULLHD,OLED,não,0,250,premium
hp,2016,6,12,12,sim,4,4,140,FULLHD,IPS,não,0,2000,jogos_intermediarios
dell,2014,6,8,8,não,0,4,144,HD,VA,não,250,0,intermediario
apple,2019,4,7,8,não,0,2,583,QUADHD,OLED,não,0,2000,premium
hp,2015,4,7,12,sim,6,4,138,FULLHD,VA,não,0,1000,jogos_intermediarios
razer,2019,10,12,16,sim,6,4,111,FULLHD,AMOLED,não,0,1000,jogos_premium
asus,2012,6,8,6,não,0,4,415,HD,IPS,não,2000,0,entrada
hp,2015,12,13,16,sim,4,4,95,QUADHD,TN,não,0,1000,jogos_intermediarios
lenovo,2012,12,20,16,sim,6,1,103,4K,IPS,não,1000,125,jogos_intermediarios
asus,2019,6,7,2,não,0,2,554,FULLHD,IPS,não,0,250,ultraportatil
razer,2014,8,15,8,não,0,3,565,QUADHD,OLED,não,500,250,premium
razer,2019,4,8,32,sim,6,4,181,FULLHD,OLED,não,0,500,jogos_premium
lenovo,2013,2,3,6,não,0,2,251,FULLHD,AMOLED,sim,250,250,2em1
razer,2016,6,9,8,não,0,3,531,4K,AMOLED,não,0,250,premium
hp,2022,10,12,12,sim,4,4,131,FULLHD,TN,não,0,1000,jogos_entrada
positivo,2017,6,9,2,não,0,1,157,HD,TN,não,500,0,entrada
dell,2017,6,11,64,não,0,3,88,HD,TN,não,500,0,entrada
hp,2010,6,8,12,sim,4,4,33,FULLHD,OLED,não,2000,2000,jogos_intermediarios
hp,2012,4,4,6,não,0,3,567,FULLHD,IPS,não,500,250,ultraportatil
apple,2014,12,13,8,não,0,2,418,FULLHD,OLED,não,250,250,premium
acer,2010,12,18,16,sim,6,2,185,FULLHD,AMOLED,não,1000,250,jogos_premium
razer,2022,8,12,16,não,0,3,577,FULLHD,OLED,não,0,250,premium
samsung,2019,12,16,8,sim,4,4,90,FULLHD,IPS,não,0,500,jogos_entrada
asus,2011,12,18,16,não,0,3,446,FULLHD,OLED,não,1000,250,premium
samsung,2023,8,8,12,não,0,2,343,FULLHD,IPS,sim,0,500,2em1
positivo,2023,6,9,6,não,0,2,159,HD,TN,não,250,1000,entrada
dell,2021,8,9,8,sim,2,4,129,FULLHD,IPS,não,0,2000,jogos_entrada
acer,2015,12,20,16,sim,6,4,78,QUADHD,AMOLED,não,0,250,jogos_premium
huawei,2013,10,15,8,não,0,3,586,QUADHD,OLED,não,250,250,premium
samsung,2012,2,4,6,não,0,3,500,FULLHD,TN,não,1000,250,ultraportatil
apple,2011,12,21,8,não,0,2,568,FULLHD,OLED,não,2000,250,premium
lenovo,2012,6,9,12,sim,4,1,198,FULLHD,TN,não,250,125,jogos_entrada
positivo,2012,4,4,12,não,0,1,218,HD,IPS,não,2000,0,entrada
huawei,2016,12,14,16,não,0,2,417,FULLHD,OLED,não,0,500,premium
razer,2019,8,12,16,não,0,2,462,4K,OLED,não,0,250,premium
asus,2013,4,7,6,não,0,3,36,HD,OLED,não,2000,0,intermediario
razer,2021,12,15,16,não,0,3,507,4K,AMOLED,não,0,500,premium
positivo,2020,12,21,6,não,0,4,230,HD,TN,não,1000,0,entrada
xiaomi,2020,4,4,16,não,0,2,426,4K,OLED,não,0,1000,premium
xiaomi,2012,6,7,16,não,0,2,436,FULLHD,AMOLED,não,2000,250,premium
lenovo,2023,10,13,8,não,0,2,560,FULLHD,IPS,não,0,500,ultraportatil
lenovo,2015,6,7,8,não,0,2,432,FULLHD,IPS,sim,0,250,2em1
apple,2015,10,14,16,não,0,3,528,4K,OLED,não,0,250,premium
lenovo,2023,8,8,8,não,0,2,571,FULLHD,VA,não,0,250,ultraportatil
xiaomi,2016,10,14,8,não,0,3,418,FULLHD,AMOLED,não,0,2000,premium
samsung,2021,10,11,16,não,0,1,172,HD,TN,não,500,0,entrada
xiaomi,2021,12,21,8,não,0,3,548,FULLHD,OLED,não,0,250,premium
dell,2018,6,8,12,não,0,3,287,HD,IPS,não,0,250,intermediario
apple,2018,10,20,8,não,0,2,428,FULLHD,AMOLED,não,0,500,premium
hp,2011,6,6,16,sim,6,1,182,QUADHD,TN,não,1000,1000,jogos_intermediarios
lenovo,2022,12,12,32,sim,8,4,77,FULLHD,AMOLED,não,0,1000,jogos_premium
dell,2020,12,24,12,sim,4,4,55,FULLHD,OLED,não,0,1000,jogos_intermediarios
dell,2011,2,2,12,sim,2,4,47,FULLHD,IPS,não,500,1000,jogos_entrada
acer,2011,2,2,16,não,0,2,89,FULLHD,IPS,sim,2000,250,2em1
xiaomi,2013,6,6,16,não,0,2,530,QUADHD,OLED,não,0,250,premium
xiaomi,2022,12,14,16,não,0,2,575,QUADHD,OLED,não,0,250,premium
acer,2021,6,10,16,sim,6,4,200,QUADHD,VA,não,0,500,jogos_intermediarios
lenovo,2021,8,9,16,não,0,4,438,HD,TN,não,250,0,entrada
xiaomi,2017,6,7,16,não,0,3,425,QUADHD,AMOLED,não,0,500,premium
apple,2020,10,16,16,não,0,2,531,4K,OLED,não,0,250,premium
dell,2012,4,5,6,não,0,3,287,HD,OLED,não,2000,0,intermediario
lenovo,2014,8,12,12,não,0,2,319,FULLHD,IPS,sim,0,250,2em1
xiaomi,2021,8,14,8,não,0,2,561,QUADHD,AMOLED,não,0,500,premium
hp,2018,8,9,4,não,0,2,599,FULLHD,OLED,não,0,1000,ultraportatil
asus,2012,4,8,16,não,0,2,592,FULLHD,IPS,não,0,250,ultraportatil
huawei,2023,10,19,8,não,0,2,476,QUADHD,OLED,não,0,1000,premium
lenovo,2023,8,12,16,não,0,2,145,FULLHD,IPS,sim,0,250,2em1
xiaomi,2022,10,12,8,não,0,2,474,QUADHD,OLED,não,0,500,premium
samsung,2011,4,5,6,não,0,2,343,FULLHD,IPS,sim,250,250,2em1
huawei,2014,12,24,16,não,0,2,525,QUADHD,OLED,não,2000,250,premium
apple,2011,6,7,16,não,0,2,461,QUADHD,OLED,não,250,250,premium
dell,2016,12,18,16,não,0,2,432,4K,AMOLED,não,0,1000,premium
acer,2019,10,15,16,não,0,3,514,QUADHD,AMOLED,não,0,1000,premium
huawei,2012,12,14,8,não,0,2,591,4K,OLED,não,0,250,premium
samsung,2013,2,4,6,não,0,2,39,FULLHD,IPS,sim,250,250,2em1
apple,2012,4,8,16,não,0,3,526,QUADHD,OLED,não,250,250,premium
razer,2022,10,13,32,sim,6,4,197,QUADHD,OLED,não,0,250,jogos_premium
apple,2020,4,6,8,não,0,2,473,FULLHD,OLED,não,0,250,premium
huawei,2012,8,15,8,não,0,2,439,QUADHD,OLED,não,2000,250,premium
acer,2010,6,6,8,sim,4,2,175,FULLHD,IPS,não,1000,2000,jogos_entrada
asus,2012,6,11,12,não,0,4,285,HD,IPS,não,1000,0,entrada
asus,2013,6,7,6,não,0,2,73,FULLHD,IPS,sim,250,250,2em1
samsung,2013,6,6,6,não,0,3,534,FULLHD,OLED,não,1000,125,ultraportatil
asus,2010,4,4,12,não,0,3,459,HD,TN,não,0,1000,entrada
huawei,2019,6,11,8,não,0,3,581,QUADHD,OLED,não,0,1000,premium
samsung,2021,12,19,2,não,0,2,505,FULLHD,VA,não,0,500,ultraportatil
dell,2011,4,8,8,sim,4,3,126,FULLHD,IPS,não,500,250,jogos_entrada
apple,2012,12,19,8,não,0,2,417,QUADHD,OLED,não,0,500,premium
samsung,2018,4,8,32,sim,6,4,99,4K,OLED,não,0,2000,jogos_premium
dell,2012,6,9,12,não,0,1,211,HD,IPS,não,250,0,intermediario
apple,2019,8,15,8,não,0,2,509,4K,OLED,não,0,250,premium
hp,2014,4,5,8,não,0,3,575,FULLHD,VA,não,500,500,ultraportatil
razer,2015,8,12,8,não,0,2,552,QUADHD,OLED,não,0,250,premium
acer,2021,10,13,16,não,0,2,444,QUADHD,OLED,não,0,250,premium
razer,2017,10,20,16,sim,6,3,62,FULLHD,AMOLED,não,0,250,jogos_premium
xiaomi,2015,8,10,8,não,0,2,467,FULLHD,OLED,não,0,250,premium
acer,2019,8,10,32,não,0,1,438,HD,IPS,não,2000,0,intermediario
samsung,2018,4,7,12,não,0,1,57,HD,OLED,não,2000,0,intermediario
samsung,2013,8,13,16,sim,6,1,126,FULLHD,TN,não,250,125,jogos_intermediarios
razer,2018,6,8,8,não,0,2,537,QUADHD,OLED,não,0,1000,premium
razer,2012,12,15,8,não,0,2,512,QUADHD,OLED,não,500,250,premium
samsung,2019,12,22,16,não,0,2,583,QUADHD,AMOLED,não,0,500,premium
asus,2012,12,24,8,não,0,3,454,QUADHD,AMOLED,não,0,1000,premium
dell,2014,10,10,32,sim,6,3,161,4K,AMOLED,não,250,250,jogos_premium
positivo,2020,10,13,64,não,0,2,65,HD,TN,não,1000,0,entrada
dell,2018,4,6,8,sim,4,4,118,FULLHD,OLED,não,0,250,jogos_entrada
xiaomi,2011,10,10,8,não,0,3,465,4K,AMOLED,não,500,250,premium
asus,2016,4,5,16,não,0,3,526,FULLHD,AMOLED,sim,0,2000,2em1
asus,2014,4,8,12,não,0,2,509,FULLHD,IPS,não,1000,125,ultraportatil
huawei,2014,8,14,16,não,0,3,410,FULLHD,AMOLED,não,0,250,premium
hp,2010,4,4,16,sim,6,2,100,QUADHD,IPS,não,250,500,jogos_intermediarios
positivo,2019,4,7,64,não,0,3,255,HD,TN,não,1000,0,entrada
asus,2018,12,21,8,não,0,2,441,QUADHD,OLED,não,0,2000,premium
dell,2012,4,6,12,não,0,3,239,HD,IPS,não,1000,0,intermediario
asus,2010,6,9,2,não,0,2,559,FULLHD,OLED,não,1000,1000,ultraportatil
dell,2016,10,18,12,sim,4,3,139,FULLHD,OLED,não,0,500,jogos_entrada
apple,2014,10,18,16,não,0,2,599,FULLHD,AMOLED,não,250,250,premium
positivo,2012,6,7,6,não,0,4,129,HD,TN,não,0,250,entrada
razer,2015,6,10,16,sim,6,3,126,FULLHD,AMOLED,não,0,500,jogos_premium
asus,2014,6,9,12,não,0,4,457,HD,IPS,não,1000,0,intermediario
hp,2022,10,17,6,não,0,3,513,FULLHD,TN,não,0,2000,ultraportatil
razer,2016,10,13,16,sim,6,1,153,QUADHD,OLED,não,0,2000,jogos_premium
asus,2014,8,14,16,não,0,3,507,4K,AMOLED,não,500,250,premium
positivo,2018,4,6,8,não,0,2,287,HD,IPS,não,500,0,entrada
asus,2018,10,10,8,não,0,3,429,HD,VA,não,0,2000,intermediario
xiaomi,2019,10,10,16,não,0,2,497,FULLHD,OLED,não,0,1000,premium
apple,2012,8,11,8,não,0,2,549,4K,AMOLED,não,500,250,premium
razer,2021,10,17,8,não,0,2,594,4K,AMOLED,não,0,250,premium
acer,2016,6,12,16,não,0,3,103,HD,TN,não,250,0,entrada
lenovo,2011,12,13,32,sim,6,3,172,4K,OLED,não,500,250,jogos_premium
razer,2012,12,14,8,não,0,2,529,4K,AMOLED,não,0,500,premium
asus,2012,6,8,12,não,0,2,428,HD,IPS,não,250,0,entrada
huawei,2019,12,20,16,não,0,2,473,FULLHD,OLED,não,0,500,premium
razer,2019,12,14,8,não,0,2,548,4K,AMOLED,não,0,2000,premium
asus,2015,8,16,4,não,0,3,500,FULLHD,OLED,não,0,250,ultraportatil
samsung,2018,6,8,16,não,0,3,427,FULLHD,AMOLED,sim,0,250,premium
huawei,2010,8,14,16,não,0,3,403,4K,AMOLED,não,1000,250,premium
hp,2020,12,22,2,não,0,3,576,FULLHD,VA,não,0,250,ultraportatil
razer,2010,12,14,8,não,0,2,477,QUADHD,AMOLED,não,2000,250,premium
huawei,2015,8,9,8,não,0,2,407,4K,OLED,não,0,250,premium
razer,2018,10,20,16,sim,6,4,180,4K,AMOLED,não,0,250,jogos_premium
lenovo,2020,4,8,16,sim,6,4,55,4K,OLED,não,0,2000,jogos_intermediarios
huawei,2012,6,6,8,não,0,2,592,QUADHD,AMOLED,não,1000,250,premium
samsung,2015,10,19,12,não,0,4,570,HD,OLED,não,0,250,intermediario
lenovo,2021,8,11,8,não,0,1,525,HD,OLED,não,250,0,intermediario
lenovo,2016,4,5,8,sim,4,2,81,FULLHD,OLED,não,0,250,jogos_entrada
samsung,2015,8,14,16,não,0,2,594,4K,IPS,sim,0,250,premium
huawei,2016,4,8,16,não,0,3,599,4K,AMOLED,não,0,1000,premium
positivo,2021,12,16,4,não,0,1,167,HD,IPS,não,1000,0,entrada
acer,2016,8,8,16,sim,4,3,168,4K,OLED,não,0,250,jogos_intermediarios
dell,2021,10,13,12,não,0,4,317,HD,IPS,não,500,0,intermediario
lenovo,2015,10,18,32,não,0,2,579,HD,IPS,não,500,0,intermediario
asus,2017,4,6,4,não,0,1,547,HD,TN,não,0,500,entrada
samsung,2021,4,5,12,sim,4,4,200,FULLHD,OLED,não,0,500,jogos_entrada
samsung,2015,10,19,16,não,0,3,469,FULLHD,AMOLED,não,0,250,premium
acer,2023,12,16,8,sim,2,4,69,FULLHD,OLED,não,0,500,jogos_entrada
asus,2021,6,6,12,não,0,2,552,HD,TN,não,2000,0,intermediario
dell,2016,4,8,2,não,0,2,89,FULLHD,AMOLED,sim,0,1000,2em1
apple,2012,6,8,8,não,0,2,575,4K,OLED,não,500,250,premium
lenovo,2015,4,4,8,sim,4,1,182,FULLHD,VA,não,0,250,jogos_entrada
positivo,2012,2,3,16,não,0,1,133,HD,IPS,não,1000,0,entrada
apple,2015,4,7,8,não,0,3,506,QUADHD,OLED,não,0,250,premium
dell,2012,6,7,8,não,0,3,449,4K,IPS,sim,2000,250,premium
asus,2018,4,6,12,não,0,1,375,HD,IPS,não,250,0,entrada
huawei,2015,6,11,8,não,0,2,427,4K,OLED,não,0,250,premium
samsung,2022,10,18,16,sim,8,4,150,FULLHD,TN,não,0,250,jogos_intermediarios
dell,2014,8,8,16,sim,6,1,136,4K,IPS,não,500,125,jogos_intermediarios
huawei,2012,12,17,16,não,0,2,406,4K,AMOLED,não,250,250,premium
hp,2021,10,20,16,sim,6,4,85,4K,OLED,não,0,1000,jogos_intermediarios
asus,2013,2,3,8,não,0,2,502,FULLHD,IPS,sim,500,250,2em1
xiaomi,2017,4,6,16,não,0,2,471,QUADHD,AMOLED,não,0,1000,premium
xiaomi,2015,4,5,16,não,0,3,556,QUADHD,AMOLED,não,0,500,premium
lenovo,2012,12,17,16,sim,6,1,182,FULLHD,VA,não,500,2000,jogos_intermediarios
acer,2020,8,12,6,não,0,4,316,HD,IPS,não,250,0,entrada
apple,2022,6,12,8,não,0,2,493,QUADHD,OLED,não,0,250,premium
dell,2015,10,11,2,não,0,2,257,HD,IPS,não,500,0,entrada
samsung,2016,8,9,8,sim,2,1,180,FULLHD,IPS,não,0,2000,jogos_entrada
lenovo,2021,12,23,2,não,0,4,537,HD,IPS,não,1000,0,intermediario
samsung,2012,6,12,8,não,0,3,95,HD,IPS,não,1000,0,entrada
acer,2010,6,12,4,não,0,4,392,HD,VA,não,500,0,intermediario
asus,2011,6,9,4,não,0,2,410,HD,VA,não,0,1000,intermediario
razer,2013,6,9,16,sim,6,3,39,FULLHD,OLED,não,500,125,jogos_premium
huawei,2019,10,17,16,não,0,2,505,QUADHD,AMOLED,não,0,250,premium
samsung,2015,8,14,12,sim,4,2,161,FULLHD,OLED,não,0,500,jogos_entrada
acer,2022,10,16,8,sim,2,4,181,FULLHD,IPS,não,0,500,jogos_entrada
dell,2017,6,9,8,não,0,1,402,HD,IPS,não,250,0,entrada
asus,2018,6,12,32,não,0,2,227,HD,IPS,não,0,500,intermediario
hp,2015,4,7,4,não,0,3,542,FULLHD,OLED,não,0,250,ultraportatil
dell,2015,8,12,12,sim,2,3,87,FULLHD,VA,não,0,250,jogos_entrada
huawei,2022,4,5,16,não,0,2,553,QUADHD,AMOLED,não,0,250,premium
dell,2023,10,13,12,sim,2,4,166,FULLHD,OLED,não,0,500,jogos_entrada
positivo,2019,4,5,2,não,0,3,40,HD,TN,não,500,0,entrada
lenovo,2022,6,10,32,sim,12,4,63,FULLHD,AMOLED,não,0,250,jogos_premium
acer,2011,10,20,16,não,0,3,591,4K,AMOLED,não,1000,250,premium
hp,2021,12,14,2,não,0,3,517,FULLHD,IPS,não,0,500,ultraportatil
dell,2020,12,22,2,não,0,3,72,HD,VA,não,250,0,intermediario
dell,2010,8,11,16,sim,4,3,165,4K,TN,não,1000,500,jogos_intermediarios
asus,2020,4,7,16,não,0,2,446,QUADHD,IPS,sim,0,250,premium
lenovo,2017,6,11,8,não,0,2,312,HD,TN,não,0,2000,entrada
acer,2014,12,19,16,sim,6,4,43,QUADHD,IPS,não,0,250,jogos_intermediarios
samsung,2020,6,11,32,não,0,2,596,FULLHD,VA,não,0,250,ultraportatil
samsung,2015,6,8,12,sim,2,4,172,FULLHD,VA,não,0,500,jogos_entrada
lenovo,2017,4,8,16,sim,6,1,80,FULLHD,AMOLED,não,0,2000,jogos_premium
lenovo,2013,2,4,12,sim,4,2,44,FULLHD,IPS,não,0,500,jogos_entrada
asus,2016,12,23,16,não,0,2,526,QUADHD,AMOLED,sim,0,500,premium
asus,2013,6,9,6,não,0,2,423,HD,TN,não,0,250,entrada
lenovo,2020,12,16,16,não,0,3,507,QUADHD,OLED,não,0,2000,premium
samsung,2018,12,17,16,não,0,2,583,4K,AMOLED,sim,0,250,premium
hp,2015,6,7,12,sim,2,1,83,FULLHD,IPS,não,0,250,jogos_entrada
huawei,2021,4,5,8,não,0,3,504,4K,OLED,não,0,250,premium
positivo,2018,6,12,32,não,0,3,216,HD,IPS,não,500,0,entrada
positivo,2011,2,2,8,não,0,3,288,HD,TN,não,0,500,entrada
samsung,2014,4,7,8,não,0,2,226,HD,IPS,não,250,0,entrada
lenovo,2015,4,8,16,não,0,3,208,HD,IPS,não,1000,0,entrada
xiaomi,2017,4,8,8,não,0,3,425,4K,AMOLED,não,0,250,premium
samsung,2019,4,6,2,não,0,1,283,HD,OLED,não,0,1000,intermediario
hp,2022,6,9,4,não,0,3,566,FULLHD,TN,não,0,250,ultraportatil
xiaomi,2022,4,5,16,não,0,3,475,FULLHD,OLED,não,0,1000,premium
dell,2012,2,4,6,não,0,2,89,HD,IPS,não,2000,0,entrada
positivo,2019,10,18,64,não,0,4,285,HD,TN,não,500,0,entrada
xiaomi,2018,12,24,8,não,0,2,593,4K,OLED,não,0,250,premium
lenovo,2012,4,6,8,não,0,3,591,FULLHD,VA,não,2000,250,ultraportatil
samsung,2023,10,14,4,não,0,3,194,FULLHD,IPS,sim,0,250,2em1
lenovo,2018,12,23,16,sim,6,2,72,FULLHD,VA,não,0,500,jogos_intermediarios
positivo,2016,6,8,4,não,0,4,44,HD,IPS,não,250,0,entrada
samsung,2012,10,17,8,não,0,2,434,FULLHD,IPS,sim,0,1000,premium
positivo,2012,2,3,6,não,0,3,252,HD,TN,não,1000,0,entrada
positivo,2020,4,8,8,não,0,2,273,HD,TN,não,0,250,entrada
hp,2021,12,24,6,não,0,3,576,FULLHD,OLED,não,0,250,ultraportatil
asus,2012,6,8,16,não,0,2,478,FULLHD,AMOLED,não,250,250,premium
lenovo,2019,8,9,16,não,0,2,109,HD,TN,não,0,2000,intermediario
samsung,2022,8,12,8,não,0,1,502,HD,IPS,não,1000,500,entrada
positivo,2020,10,18,4,não,0,1,213,HD,TN,não,1000,0,entrada
huawei,2013,10,13,8,não,0,2,489,FULLHD,AMOLED,não,250,250,premium
samsung,2020,12,14,4,não,0,2,509,FULLHD,TN,não,0,250,ultraportatil
asus,2023,10,14,2,não,0,3,515,FULLHD,IPS,sim,0,2000,2em1
samsung,2017,4,5,32,sim,6,1,186,QUADHD,AMOLED,não,0,500,jogos_premium
hp,2010,8,13,16,sim,4,4,168,FULLHD,OLED,não,500,1000,jogos_intermediarios
